order_id,customer_id,order_date,product_name,category,quantity,unit_price,payment_method
1376,7,2025-02-25, Green Tea,Hot drinks,1.0,30000.0,card
2235,77,01/02/2025, Iced Latte,cold drinks,2.0,67000.0,Online 
1233,48,08/26/2025, Croissant,Bakery,1.0,35000.0,Online
1032,53,12/16/2025,Blueberry Muffin ,Bakery,1.0,45000.0,CASH
2046,31,09/08/2025,Croissa nt,Bakery,3.0,40000.0,
1119,19,2025-12-14,BLUEBERRY MUFFIN,bakery,1.0,45000.0,Online
2071,11,05/03/2025,Cappuccino,hot drinks,2.0,50000.0,CASH
2034,55,07/06/2025,Cold Brew ,COLD DRINKS,2.0,70000.0,Card
1057,101,24/09/2025,Green Tea,Hot drinks,3.0,30000.0,card
1835,13,05-12-2025,Chocolate Cake ,Bakery,1.0,75000.0,CASH
1680,113,2025-02-11,Chocola te Ca ke,bakery,1.0,70000.0,card
1156,91,12-06-2025,chocolate cake,Bakery,2.0,75000.0,CASH
2243,53,04-12-2025,AMERICANO,Hot drinks,2.0,43000.0,Online
2384,21,06/29/2025,CAPPUCCINO,hot drinks,1.0,,Online
2133,27,05/07/2025,Espresso,hot drinks,1.0,40000.0,Online
2018,8,2025-01-04,Iced Latte ,Cold Drinks,1.0,62000.0,card
1716,59,13-11-2025,La tte,HOT DRINKS,1.0,58000.0,Cash
2295,115,07/08/2025,Blueberry Muffin,BAKERY,1.0,50000.0,Cash
1522,21,2025-01-22,Green Tea,hot drinks,1.0,35000.0,Cash
1372,9,02/06/2025,Espresso ,hot drinks,3.0,50000.0,card
2167,61,2025-01-28,americano,hot drinks,4.0,48000.0,
1541,74,12/12/2025,COLD BREW,Cold drinks,1.0,65000.0,CASH
1474,5,09/19/2025,Blueberry Muffin,Bakery,2.0,50000.0,Online
1211,19,23-07-2025,HOT CHOCOLATE,Hot drinks,1.0,65000.0,Online 
2307,117,06/22/2025,blueberry muffin,Bakery,4.0,45000.0,card
2148,102,24-01-2025,Chocolate Cake,bakery,1.0,75000.0,Online
2399,48,11/10/2025,ESPRESSO,Hot Drinks,3.0,45000.0,card
2160,11,31/07/2025,Green Tea ,Hot Drinks,1.0,30000.0,Online 
1669,85,03/06/2025, Americano,Hot Drinks,1.0,48000.0,Online 
1984,51,03/03/2025,croissant,BAKERY,1.0,40000.0,Card
1129,78,25/11/2025,cold brew,COLD DRINKS,2.0,70000.0,CASH
1885,111,16/06/2025, Hot Chocolate,hot drinks,2.0,60000.0,CASH
2159,110,15/12/2025,Blueberry Muffin ,bakery,1.0,55000.0,Online
2289,114,13-03-2025,ESPRESSO,Hot drinks,4.0,40000.0,Card
1806,106,09/11/2025,GREEN TEA,hot drinks,,35000.0,Online
1638,115,11/06/2025, Hot Chocolate,Hot drinks,2.0,65000.0,card
1829,78,2025-07-03,Latte ,HOT DRINKS,,58000.0,card
1662,23,02/05/2025,CHOCOLATE CAKE,Bakery,2.0,75000.0,Card
1172,79,23/04/2025,America no,hot drinks,-1.0,48000.0,card
1874,42,26-10-2025,CHEESECAKE,Bakery,2.0,80000.0,card
1396,102,13-11-2025,BLUEBERRY MUFFIN,Bakery,2.0,55000.0,Online
1360,52,01/19/2025,Croissa nt,Bakery,1.0,0.0,Online 
1671,50,04-10-2025, Cappuccino,Hot Drinks,2.0,60000.0,Card
2002,40,26/05/2025,CHOCOLATE CAKE,Bakery,-1.0,75000.0,Cash
1177,8,25-08-2025, Cheesecake,bakery,3.0,80000.0,Card
1866,96,26-06-2025,COLD BREW,Cold drinks,2.0,70000.0,card
2201,33,12-04-2025,Latte ,hot drinks,2.0,53000.0,Cash
2285,16,29-04-2025,chocolate cake,bakery,1.0,75000.0,card
1914,72,2025-01-02, Chocolate Cake,Bakery,4.0,75000.0,Online
1454,32,03/07/2025,Espresso,HOT DRINKS,1.0,50000.0,Card
1847,63,06/09/2025,Croissant ,Bakery,1.0,35000.0,card
1664,10,2025-05-09,Blueberry Muffin,Bakery,2.0,50000.0,Card
1769,45,26-10-2025, Hot Chocolate,hot drinks,2.0,55000.0,Online
1350,119,12/15/2025,Cappuccino ,Hot drinks,1.0,55000.0,Cash
1260,118,19-04-2025,croissant,BAKERY,1.0,40000.0,CASH
1042,33,01-06-2025, Chocolate Cake,Bakery,4.0,70000.0,Cash
1351,60,28-10-2025,chocolate cake,Bakery,1.0,,Online
2338,73,26/09/2025, Cheesecake,bakery,1.0,85000.0,
2355,23,2025-06-13,Chocola te Ca ke,BAKERY,1.0,75000.0,card
1590,116,14-04-2025, Latte,Hot drinks,1.0,0.0,CASH
1107,74,2025-04-06,Croissant,Bakery,2.0,40000.0,card
1576,100,10/03/2025,CHOCOLATE CAKE,Bakery,3.0,75000.0,card
2258,79,05-05-2025,Iced Latte ,cold drinks,1.0,67000.0,Card
1971,73,2025-07-21,cappuccino,hot drinks,,55000.0,Online 
1208,82,2025-12-26,Espresso,hot drinks,2.0,45000.0,CASH
1679,32,2025-01-21, Blueberry Muffin,BAKERY,4.0,55000.0,
1224,43,11/30/2025,Croissant ,BAKERY,1.0,0.0,card
1144,52,10/19/2025,espresso,Hot Drinks,1.0,50000.0,card
1707,96,12/26/2025,blueberry muffin,Bakery,1.0,50000.0,Online
1536,80,2025-10-30,Hot Chocolate ,Hot Drinks,1.0,60000.0,Card
2156,13,10-06-2025,chocolate cake,bakery,1.0,70000.0,Online
1796,39,24-03-2025,Americano,hot drinks,4.0,48000.0,Card
2312,104,07-01-2025,blueberry muffin,BAKERY,2.0,50000.0,card
2075,10,10-03-2025, Cold Brew,Cold drinks,1.0,65000.0,Cash
1262,16,2025-08-14,La tte,HOT DRINKS,2.0,58000.0,Online 
1436,46,12/10/2025,Latte ,Hot Drinks,1.0,58000.0,Cash
1792,48,27/02/2025,hot chocolate,HOT DRINKS,2.0,60000.0,Online
1476,76,2025-09-23,americano,hot drinks,1.0,53000.0,Online
1594,118,26/01/2025,Ca ppuccino,hot drinks,1.0,55000.0,CASH
2150,90,19/02/2025,Green Tea,HOT DRINKS,3.0,,Card
2356,108,11/04/2025,chocolate cake,BAKERY,-1.0,75000.0,card
1649,24,2025-01-17,CHEESECAKE,Bakery,1.0,90000.0,card
2344,17,2025-06-01, Chocolate Cake,bakery,2.0,75000.0,Card
1062,55,07-12-2025,Cold Brew,Cold Drinks,1.0,,Card
1610,64,10-07-2025,americano,HOT DRINKS,-1.0,53000.0,Card
1624,78,2025-03-07,blueberry muffin,Bakery,2.0,45000.0,Online
1548,52,2025-04-22, Blueberry Muffin,BAKERY,3.0,50000.0,card
1954,99,25/05/2025,Iced La tte,Cold Drinks,2.0,67000.0,card
1480,97,23/08/2025, Cold Brew,Cold Drinks,2.0,60000.0,Online
1904,32,06/14/2025,green tea,Hot Drinks,2.0,40000.0,Online 
1485,26,11/13/2025,Americano,Hot Drinks,4.0,43000.0,Online 
2125,47,01/23/2025,Cappuccino ,hot drinks,1.0,0.0,CASH
1980,89,2025-08-16,ICED LATTE,COLD DRINKS,1.0,,Online
1028,61,23/06/2025,iced latte,Cold drinks,3.0,57000.0,Online
1720,119,21-03-2025, Cold Brew,cold drinks,3.0,65000.0,CASH
2096,96,19/04/2025,Cold Brew,Cold drinks,1.0,70000.0,Cash
2153,67,08-11-2025,hot chocolate,hot drinks,2.0,60000.0,Online
1191,33,2025-06-19,Americano,HOT DRINKS,2.0,48000.0,Card
1478,23,2025-09-17,croissant,Bakery,2.0,40000.0,CASH
1292,94,02/23/2025,Iced Latte,COLD DRINKS,2.0,62000.0,Online 
1602,6,06/29/2025,Cold Brew,cold drinks,1.0,65000.0,
1915,16,23/09/2025,Green Tea,HOT DRINKS,1.0,40000.0,Card
1723,46,06/17/2025,CAPPUCCINO,hot drinks,2.0,,Cash
1883,112,02-08-2025,espresso,Hot drinks,2.0,0.0,card
2351,79,2025-12-30,Americano ,Hot drinks,2.0,48000.0,Online 
1160,7,09/29/2025, Green Tea,hot drinks,1.0,30000.0,Online 
2056,117,11/07/2025,Cold Brew,Cold Drinks,3.0,60000.0,Cash
1403,120,10/27/2025,CROISSANT,BAKERY,3.0,45000.0,Card
2294,90,09/08/2025,Latte,Hot drinks,,58000.0,Card
1968,78,27/09/2025,Americano ,Hot Drinks,2.0,48000.0,Online 
2161,102,2025-12-25,americano,Hot drinks,1.0,43000.0,Cash
1086,77,2025-07-16,Cheeseca ke,BAKERY,,90000.0,Online
1685,99,04-12-2025,Green Tea,HOT DRINKS,1.0,35000.0,Online 
1585,53,08/19/2025,Cold Brew,COLD DRINKS,2.0,70000.0,card
1234,54,03/01/2025,cappuccino,Hot drinks,1.0,55000.0,Cash
2197,77,03-01-2025,Cheesecake ,Bakery,1.0,85000.0,CASH
1923,14,2025-01-29, Green Tea,Hot Drinks,1.0,35000.0,CASH
1126,66,03/04/2025,Americano,hot drinks,1.0,48000.0,CASH
1308,46,06-10-2025,chocolate cake,Bakery,2.0,80000.0,
1894,50,13/06/2025, Cappuccino,Hot Drinks,1.0,55000.0,Card
1822,32,13-12-2025,Chocola te Ca ke,Bakery,1.0,75000.0,card
2371,99,17/08/2025,America no,hot drinks,2.0,43000.0,Online
2049,89,02/18/2025,Hot Chocola te,Hot drinks,2.0,,Online
2352,75,23/11/2025,americano,HOT DRINKS,2.0,48000.0,Online
2029,99,23-04-2025,Iced La tte,Cold Drinks,3.0,62000.0,Online 
1063,12,19-02-2025,Croissant ,Bakery,-1.0,40000.0,CASH
1509,62,27/04/2025, Cheesecake,bakery,1.0,85000.0,Cash
1534,42,2025-02-19,CAPPUCCINO,Hot Drinks,1.0,55000.0,Cash
1856,44,24-01-2025,Cold Brew ,Cold Drinks,1.0,70000.0,Online 
1307,54,11/26/2025,Americano,Hot drinks,3.0,53000.0,Online 
1657,58,23-04-2025,Cold Brew,Cold Drinks,1.0,65000.0,CASH
1724,3,2025-10-03,CAPPUCCINO,Hot drinks,2.0,55000.0,Online
2053,6,10/22/2025,latte,Hot Drinks,1.0,63000.0,Card
1838,118,2025-04-19,latte,Hot Drinks,3.0,63000.0,card
1851,114,31/12/2025, Iced Latte,COLD DRINKS,4.0,62000.0,CASH
1076,72,01/07/2025, Green Tea,Hot Drinks,4.0,30000.0,
1419,70,26-07-2025,Cheeseca ke,bakery,1.0,,Online
1430,98,2025-07-15,Chocolate Cake ,BAKERY,2.0,75000.0,Cash
1390,112,2025-09-23, Cold Brew,cold drinks,2.0,65000.0,Online 
1693,73,2025-05-24, Espresso,Hot drinks,4.0,45000.0,Cash
1294,13,10/03/2025,Cheesecake ,Bakery,1.0,90000.0,card
1784,15,04/09/2025, Latte,Hot drinks,4.0,58000.0,CASH
1310,46,2025-04-30,blueberry muffin,Bakery,1.0,50000.0,
1689,75,03-08-2025,cold brew,COLD DRINKS,1.0,60000.0,Card
1870,76,04/05/2025,Iced La tte,Cold Drinks,2.0,57000.0,Online
2304,108,19/05/2025,Espresso,hot drinks,1.0,,CASH
1935,99,12/07/2025,cold brew,Cold Drinks,1.0,60000.0,Card
1684,16,18-02-2025,Cheesecake ,BAKERY,4.0,90000.0,card
2028,22,2025-12-25,GREEN TEA,hot drinks,2.0,30000.0,card
1002,62,2025-06-24,Chocolate Cake,Bakery,1.0,75000.0,card
1943,32,11/19/2025,Espresso ,Hot drinks,4.0,50000.0,Cash
2292,45,09/02/2025,Croissant,BAKERY,1.0,35000.0,CASH
1515,15,22/08/2025, Green Tea,HOT DRINKS,1.0,40000.0,Online
